id,scop_code,class,fold,superfamily,family,length
d2hldh2,a.2.10.1,a,a.2,a.2.10,a.2.10.1,45
d2jdih1,a.2.10.1,a,a.2,a.2.10,a.2.10.1,45
d1aqta1,a.2.10.1,a,a.2,a.2.10,a.2.10.1,50
d1coja1,a.2.11.1,a,a.2,a.2.11,a.2.11.1,89
d1ix9a1,a.2.11.1,a,a.2,a.2.11,a.2.11.1,90
d3d36c_,a.2.12.1,a,a.2,a.2.12,a.2.12.1,42
d1us6a_,a.2.13.1,a,a.2,a.2.13,a.2.13.1,91
d1tjla1,a.2.14.1,a,a.2,a.2.14,a.2.14.1,104
d5gmkh_,a.2.15.1,a,a.2,a.2.15,a.2.15.1,95
d2a26a1,a.2.16.1,a,a.2,a.2.16,a.2.16.1,47
d2f6ma2,a.2.17.1,a,a.2,a.2.17,a.2.17.1,64
d2f6mb2,a.2.17.2,a,a.2,a.2.17,a.2.17.2,106
d2f66c1,a.2.17.3,a,a.2,a.2.17,a.2.17.3,65
d1z0pa1,a.2.18.1,a,a.2,a.2.18,a.2.18.1,77
d1z0jb1,a.2.19.1,a,a.2,a.2.19,a.2.19.1,51
d2ca5a1,a.2.20.1,a,a.2,a.2.20,a.2.20.1,59
d3bhpa_,a.2.21.1,a,a.2,a.2.21,a.2.21.1,52
d1gu2a_,a.3.1.1,a,a.3,a.3.1,a.3.1.1,124
d1c52a_,a.3.1.1,a,a.3,a.3.1,a.3.1.1,131
d1b7ca_,a.3.1.1,a,a.3,a.3.1,a.3.1.1,71
d1ctja_,a.3.1.1,a,a.3,a.3.1,a.3.1.1,89
d4n0ka1,a.3.1.1,a,a.3,a.3.1,a.3.1.1,106
d1h32b_,a.3.1.1,a,a.3,a.3.1,a.3.1.1,138
d1e29a_,a.3.1.1,a,a.3,a.3.1,a.3.1.1,135
d1wvec_,a.3.1.1,a,a.3,a.3.1,a.3.1.1,75
d1qksa1,a.3.1.2,a,a.3,a.3.1,a.3.1.2,127
d3cx5d1,a.3.1.3,a,a.3,a.3.1,a.3.1.3,199
d1h1oa1,a.3.1.4,a,a.3,a.3.1,a.3.1.4,82
d3vrda1,a.3.1.4,a,a.3,a.3.1,a.3.1.4,80
d3vrda2,a.3.1.4,a,a.3,a.3.1,a.3.1.4,94
d1kb0a1,a.3.1.6,a,a.3,a.3.1,a.3.1.6,97
d1pbya1,a.3.1.7,a,a.3,a.3.1,a.3.1.7,85
d1pbya2,a.3.1.7,a,a.3,a.3.1,a.3.1.7,80
d1h32a1,a.3.1.8,a,a.3,a.3.1,a.3.1.8,150
d1h32a2,a.3.1.8,a,a.3,a.3.1,a.3.1.8,111
d2zong_,a.3.1.0,a,a.3,a.3.1,a.3.1.0,81
d2zxya_,a.3.1.0,a,a.3,a.3.1,a.3.1.0,86
d5xdha_,a.3.1.0,a,a.3,a.3.1,a.3.1.0,86
d4aana1,a.3.1.0,a,a.3,a.3.1,a.3.1.0,165
d4aana2,a.3.1.0,a,a.3,a.3.1,a.3.1.0,158
d2d0sa_,a.3.1.0,a,a.3,a.3.1,a.3.1.0,79
d1umma_,a.3.1.0,a,a.3,a.3.1,a.3.1.0,149
d1wi3a1,a.4.1.1,a,a.4,a.4.1,a.4.1.1,58
d1lfba_,a.4.1.1,a,a.4,a.4.1,a.4.1.1,78
d1mija_,a.4.1.1,a,a.4,a.4.1,a.4.1.1,152
d1x58a1,a.4.1.1,a,a.4,a.4.1,a.4.1.1,49
d1x2ma1,a.4.1.1,a,a.4,a.4.1,a.4.1.1,51
d1k61a_,a.4.1.1,a,a.4,a.4.1,a.4.1.1,60
d1x41a1,a.4.1.1,a,a.4,a.4.1,a.4.1.1,47
d1wh7a1,a.4.1.1,a,a.4,a.4.1,a.4.1.1,67
d3a02a_,a.4.1.1,a,a.4,a.4.1,a.4.1.1,51
d1wjha1,a.4.1.1,a,a.4,a.4.1,a.4.1.1,63
d1gdta1,a.4.1.2,a,a.4,a.4.1,a.4.1.2,43
d1ijwc_,a.4.1.2,a,a.4,a.4.1,a.4.1.2,47
d2ezla_,a.4.1.2,a,a.4,a.4.1,a.4.1.2,99
d2ezia_,a.4.1.2,a,a.4,a.4.1,a.4.1.2,75
d1tc3c_,a.4.1.2,a,a.4,a.4.1,a.4.1.2,51
d1u78a2,a.4.1.2,a,a.4,a.4.1,a.4.1.2,50
d1ug2a1,a.4.1.3,a,a.4,a.4.1,a.4.1.3,89
d1gv2a2,a.4.1.3,a,a.4,a.4.1,a.4.1.3,47
d2cqqa1,a.4.1.3,a,a.4,a.4.1,a.4.1.3,59
d2cqra1,a.4.1.3,a,a.4,a.4.1,a.4.1.3,59
d1fexa_,a.4.1.3,a,a.4,a.4.1,a.4.1.3,59
d2uxnb1,a.4.1.3,a,a.4,a.4.1,a.4.1.3,65
d1ofcx1,a.4.1.3,a,a.4,a.4.1,a.4.1.3,52
d2ckxa1,a.4.1.3,a,a.4,a.4.1,a.4.1.3,83
d4a69c_,a.4.1.3,a,a.4,a.4.1,a.4.1.3,69
d3sjma_,a.4.1.4,a,a.4,a.4.1,a.4.1.4,55
d1k78a1,a.4.1.5,a,a.4,a.4.1,a.4.1.5,63
d1k78a2,a.4.1.5,a,a.4,a.4.1,a.4.1.5,61
d1igna2,a.4.1.6,a,a.4,a.4.1,a.4.1.6,149
d1igna1,a.4.1.6,a,a.4,a.4.1,a.4.1.6,86
d1iufa1,a.4.1.7,a,a.4,a.4.1,a.4.1.7,75
d1iufa2,a.4.1.7,a,a.4,a.4.1,a.4.1.7,66
d1hlva1,a.4.1.7,a,a.4,a.4.1,a.4.1.7,66
d1hlva2,a.4.1.7,a,a.4,a.4.1,a.4.1.7,63
d1bl0a1,a.4.1.8,a,a.4,a.4.1,a.4.1.8,54
d1bl0a2,a.4.1.8,a,a.4,a.4.1,a.4.1.8,62
d1rkta1,a.4.1.9,a,a.4,a.4.1,a.4.1.9,81
d2fd5a1,a.4.1.9,a,a.4,a.4.1,a.4.1.9,76
d2oi8a1,a.4.1.9,a,a.4,a.4.1,a.4.1.9,79
d2g7sa1,a.4.1.9,a,a.4,a.4.1,a.4.1.9,74
d2hkua1,a.4.1.9,a,a.4,a.4.1,a.4.1.9,70
d2id3a1,a.4.1.9,a,a.4,a.4.1,a.4.1.9,68
d1sgma1,a.4.1.9,a,a.4,a.4.1,a.4.1.9,73
d2xpwa1,a.4.1.9,a,a.4,a.4.1,a.4.1.9,65
d2iu5a1,a.4.1.9,a,a.4,a.4.1,a.4.1.9,71
d2o7ta1,a.4.1.9,a,a.4,a.4.1,a.4.1.9,78
d2yvea1,a.4.1.9,a,a.4,a.4.1,a.4.1.9,74
d1ntca1,a.4.1.12,a,a.4,a.4.1,a.4.1.12,90
d1etoa_,a.4.1.12,a,a.4,a.4.1,a.4.1.12,90
d1g2ha_,a.4.1.12,a,a.4,a.4.1,a.4.1.12,61
d1ofcx2,a.4.1.13,a,a.4,a.4.1,a.4.1.13,128
d1rr7a_,a.4.1.14,a,a.4,a.4.1,a.4.1.14,94
d2coba1,a.4.1.15,a,a.4,a.4.1,a.4.1.15,63
d2ga1a1,a.4.1.16,a,a.4,a.4.1,a.4.1.16,102
d2ao9a1,a.4.1.17,a,a.4,a.4.1,a.4.1.17,120
d2dw4a1,a.4.1.18,a,a.4,a.4.1,a.4.1.18,102
d2fq3a1,a.4.1.18,a,a.4,a.4.1,a.4.1.18,85
d2aqfa2,a.4.1.18,a,a.4,a.4.1,a.4.1.18,89
d2jn6a1,a.4.1.19,a,a.4,a.4.1,a.4.1.19,89
d2o3fa1,a.4.1.20,a,a.4,a.4.1,a.4.1.20,83
d3gnaa_,a.4.1.21,a,a.4,a.4.1,a.4.1.21,68
d2xsdc2,a.4.1.0,a,a.4,a.4.1,a.4.1.0,55
d2d5va2,a.4.1.0,a,a.4,a.4.1,a.4.1.0,56
d6j4ka_,a.4.1.0,a,a.4,a.4.1,a.4.1.0,60
d2k9na1,a.4.1.0,a,a.4,a.4.1,a.4.1.0,49
d3l00a2,a.4.2.0,a,a.4,a.4.2,a.4.2.0,88
d2cxya_,a.4.3.1,a,a.4,a.4.3,a.4.3.1,114
d1biaa1,a.4.5.1,a,a.4,a.4.5,a.4.5.1,63
d2p5ka_,a.4.5.3,a,a.4,a.4.5,a.4.5.3,63
d1aoya_,a.4.5.3,a,a.4,a.4.5,a.4.5.3,78
d3e5ua1,a.4.5.4,a,a.4,a.4.5,a.4.5.4,80
d1zyba1,a.4.5.4,a,a.4,a.4.5,a.4.5.4,73
d2gaua1,a.4.5.4,a,a.4,a.4.5,a.4.5.4,81
d2coha4,a.4.5.4,a,a.4,a.4.5,a.4.5.4,82
d1y0ua1,a.4.5.5,a,a.4,a.4.5,a.4.5.5,87
d1hw1a1,a.4.5.6,a,a.4,a.4.5,a.4.5.6,74
d2hs5a1,a.4.5.6,a,a.4,a.4.5,a.4.5.6,69
d3bwga1,a.4.5.6,a,a.4,a.4.5,a.4.5.6,78
d1bm9a_,a.4.5.7,a,a.4,a.4.5,a.4.5.7,120
d1b9ma1,a.4.5.8,a,a.4,a.4.5,a.4.5.8,127
d1bjaa_,a.4.5.9,a,a.4,a.4.5,a.4.5.9,95
d1repc1,a.4.5.10,a,a.4,a.4.5,a.4.5.10,129
d1repc2,a.4.5.10,a,a.4,a.4.5,a.4.5.10,103
d2nrac1,a.4.5.10,a,a.4,a.4.5,a.4.5.10,143
d2nrac2,a.4.5.10,a,a.4,a.4.5,a.4.5.10,117
d1fnna1,a.4.5.11,a,a.4,a.4.5,a.4.5.11,112
d1in4a1,a.4.5.11,a,a.4,a.4.5,a.4.5.11,75
d2fnaa1,a.4.5.11,a,a.4,a.4.5,a.4.5.11,73
d2foka1,a.4.5.12,a,a.4,a.4.5,a.4.5.12,139
d2foka2,a.4.5.12,a,a.4,a.4.5,a.4.5.12,143
d2foka3,a.4.5.12,a,a.4,a.4.5,a.4.5.12,100
d1ussa_,a.4.5.13,a,a.4,a.4.5,a.4.5.13,88
d3l2ca_,a.4.5.14,a,a.4,a.4.5,a.4.5.14,85
d2bbya_,a.4.5.15,a,a.4,a.4.5,a.4.5.15,69
d4ou0a_,a.4.5.16,a,a.4,a.4.5,a.4.5.16,66
d1cf7a_,a.4.5.17,a,a.4,a.4.5,a.4.5.17,67
d1d8ka_,a.4.5.18,a,a.4,a.4.5,a.4.5.18,81
d1sfua_,a.4.5.19,a,a.4,a.4.5,a.4.5.19,70
d1xmka1,a.4.5.19,a,a.4,a.4.5,a.4.5.19,73
d2heoa_,a.4.5.19,a,a.4,a.4.5,a.4.5.19,59
d1dp7p_,a.4.5.20,a,a.4,a.4.5,a.4.5.20,76
d1ka8a_,a.4.5.20,a,a.4,a.4.5,a.4.5.20,100
d6j6va_,a.4.5.22,a,a.4,a.4.5,a.4.5.22,103
d2dtra1,a.4.5.24,a,a.4,a.4.5,a.4.5.24,61
d1on2a1,a.4.5.24,a,a.4,a.4.5,a.4.5.24,61
d1qzya1,a.4.5.25,a,a.4,a.4.5,a.4.5.25,74
d1t0fa1,a.4.5.27,a,a.4,a.4.5,a.4.5.27,100
d1ub9a_,a.4.5.28,a,a.4,a.4.5,a.4.5.28,100
d1jgsa_,a.4.5.28,a,a.4,a.4.5,a.4.5.28,138
d2hr3a1,a.4.5.28,a,a.4,a.4.5,a.4.5.28,145
d2fbia1,a.4.5.28,a,a.4,a.4.5,a.4.5.28,136
d2fxab_,a.4.5.28,a,a.4,a.4.5,a.4.5.28,180
d1s3ja_,a.4.5.28,a,a.4,a.4.5,a.4.5.28,143
d1hsja1,a.4.5.28,a,a.4,a.4.5,a.4.5.28,115
d1p4xa1,a.4.5.28,a,a.4,a.4.5,a.4.5.28,125
d3ctaa1,a.4.5.28,a,a.4,a.4.5,a.4.5.28,85
d5eeha1,a.4.5.29,a,a.4,a.4.5,a.4.5.29,89
d1fp2a1,a.4.5.29,a,a.4,a.4.5,a.4.5.29,101
d1i27a1,a.4.5.30,a,a.4,a.4.5,a.4.5.30,69
d2csoa1,a.4.5.31,a,a.4,a.4.5,a.4.5.31,114
d1o7fa1,a.4.5.31,a,a.4,a.4.5,a.4.5.31,142
d5suza1,a.4.5.31,a,a.4,a.4.5,a.4.5.31,94
d2cfxa1,a.4.5.32,a,a.4,a.4.5,a.4.5.32,63
d1ldda_,a.4.5.34,a,a.4,a.4.5,a.4.5.34,74
d1ldja1,a.4.5.34,a,a.4,a.4.5,a.4.5.34,90
d1lvaa3,a.4.5.35,a,a.4,a.4.5,a.4.5.35,64
d1lvaa4,a.4.5.35,a,a.4,a.4.5,a.4.5.35,60
d2v9va1,a.4.5.35,a,a.4,a.4.5,a.4.5.35,61
d2v9va2,a.4.5.35,a,a.4,a.4.5,a.4.5.35,74
d1ku9a_,a.4.5.36,a,a.4,a.4.5,a.4.5.36,151
d1ixca1,a.4.5.37,a,a.4,a.4.5,a.4.5.37,89
d2esna1,a.4.5.37,a,a.4,a.4.5,a.4.5.37,89
d2g9wa1,a.4.5.39,a,a.4,a.4.5,a.4.5.39,122
d1sd4a_,a.4.5.39,a,a.4,a.4.5,a.4.5.39,122
d1p41a1,a.4.5.40,a,a.4,a.4.5,a.4.5.40,73
d1oywa1,a.4.5.43,a,a.4,a.4.5,a.4.5.43,110
d2p6ra1,a.4.5.43,a,a.4,a.4.5,a.4.5.43,85
d2axla1,a.4.5.43,a,a.4,a.4.5,a.4.5.43,144
d1pp7u_,a.4.5.44,a,a.4,a.4.5,a.4.5.44,114
d1ucra_,a.4.5.45,a,a.4,a.4.5,a.4.5.45,74
d1s29a1,a.4.5.46,a,a.4,a.4.5,a.4.5.46,89
d3chma2,a.4.5.47,a,a.4,a.4.5,a.4.5.47,77
d1rz4a1,a.4.5.47,a,a.4,a.4.5,a.4.5.47,85
d1wi9a1,a.4.5.47,a,a.4,a.4.5,a.4.5.47,59
d4cr2t2,a.4.5.47,a,a.4,a.4.5,a.4.5.47,94
d4cr2s2,a.4.5.47,a,a.4,a.4.5,a.4.5.47,96
d4cr2p2,a.4.5.47,a,a.4,a.4.5,a.4.5.47,117
d3txna2,a.4.5.47,a,a.4,a.4.5,a.4.5.47,68
d4cr2r2,a.4.5.47,a,a.4,a.4.5,a.4.5.47,98
d4cr2o2,a.4.5.47,a,a.4,a.4.5,a.4.5.47,110
d1tbxa1,a.4.5.48,a,a.4,a.4.5,a.4.5.48,91
d2co5a1,a.4.5.48,a,a.4,a.4.5,a.4.5.48,89
d2pg4a1,a.4.5.48,a,a.4,a.4.5,a.4.5.48,92
d1r7ja_,a.4.5.49,a,a.4,a.4.5,a.4.5.49,90
d1sfxa1,a.4.5.50,a,a.4,a.4.5,a.4.5.50,106
d2d1ha1,a.4.5.50,a,a.4,a.4.5,a.4.5.50,109
d1stza1,a.4.5.51,a,a.4,a.4.5,a.4.5.51,87
d1wlqc_,a.4.5.52,a,a.4,a.4.5,a.4.5.52,187
d1xb4a1,a.4.5.54,a,a.4,a.4.5,a.4.5.54,125
d1xb4a2,a.4.5.54,a,a.4,a.4.5,a.4.5.54,76
d1u5tb1,a.4.5.54,a,a.4,a.4.5,a.4.5.54,94
d1u5tb2,a.4.5.54,a,a.4,a.4.5,a.4.5.54,75
d1xd7a_,a.4.5.55,a,a.4,a.4.5,a.4.5.55,127
d1tqia1,a.4.5.56,a,a.4,a.4.5,a.4.5.56,90
d1ulya_,a.4.5.58,a,a.4,a.4.5,a.4.5.58,190
d1wj5a1,a.4.5.59,a,a.4,a.4.5,a.4.5.59,107
d1t6sa1,a.4.5.60,a,a.4,a.4.5,a.4.5.60,85
d1t6sa2,a.4.5.60,a,a.4,a.4.5,a.4.5.60,77
d4awxb1,a.4.5.62,a,a.4,a.4.5,a.4.5.62,79
d3bp8a1,a.4.5.63,a,a.4,a.4.5,a.4.5.63,71
d1xnpa_,a.4.5.64,a,a.4,a.4.5,a.4.5.64,194
d1t98a1,a.4.5.65,a,a.4,a.4.5,a.4.5.65,111
d2b0la1,a.4.5.66,a,a.4,a.4.5,a.4.5.66,91
d2ve8a_,a.4.5.67,a,a.4,a.4.5,a.4.5.67,67
d5deqa2,a.4.5.68,a,a.4,a.4.5,a.4.5.68,69
d2fmla1,a.4.5.68,a,a.4,a.4.5,a.4.5.68,64
d2od5a1,a.4.5.70,a,a.4,a.4.5,a.4.5.70,91
d2obpa1,a.4.5.71,a,a.4,a.4.5,a.4.5.71,81
d2p8ta1,a.4.5.72,a,a.4,a.4.5,a.4.5.72,69
d2htja1,a.4.5.73,a,a.4,a.4.5,a.4.5.73,73
d2ipqx1,a.4.5.74,a,a.4,a.4.5,a.4.5.74,133
d3bz6a1,a.4.5.75,a,a.4,a.4.5,a.4.5.75,84
d3bz6a2,a.4.5.75,a,a.4,a.4.5,a.4.5.75,84
d2ns0a1,a.4.5.76,a,a.4,a.4.5,a.4.5.76,85
d2hgca1,a.4.5.77,a,a.4,a.4.5,a.4.5.77,78
d2cmxa_,a.4.5.78,a,a.4,a.4.5,a.4.5.78,70
d3f0pa1,a.4.5.79,a,a.4,a.4.5,a.4.5.79,80
d2a5yb1,a.4.5.80,a,a.4,a.4.5,a.4.5.80,158
d2doaa1,a.4.5.81,a,a.4,a.4.5,a.4.5.81,93
d2gmga1,a.4.5.82,a,a.4,a.4.5,a.4.5.82,96
d1zela1,a.4.5.83,a,a.4,a.4.5,a.4.5.83,82
d2v7fa1,a.4.5.84,a,a.4,a.4.5,a.4.5.84,149
d2dk5a1,a.4.5.85,a,a.4,a.4.5,a.4.5.85,78
d2dk8a1,a.4.5.85,a,a.4,a.4.5,a.4.5.85,68
d3nfia2,a.4.5.86,a,a.4,a.4.5,a.4.5.86,83
d3nfia1,a.4.5.86,a,a.4,a.4.5,a.4.5.86,136
d7cv2a1,a.4.5.0,a,a.4,a.4.5,a.4.5.0,64
d2fe3a_,a.4.5.0,a,a.4,a.4.5,a.4.5.0,141
d7bzea_,a.4.5.0,a,a.4,a.4.5,a.4.5.0,108
d5x14a1,a.4.5.0,a,a.4,a.4.5,a.4.5.0,182
d2xaua3,a.4.5.0,a,a.4,a.4.5,a.4.5.0,66
d6qpqb_,a.4.5.0,a,a.4,a.4.5,a.4.5.0,81
d6dk4b_,a.4.5.0,a,a.4,a.4.5,a.4.5.0,117
d2fmya2,a.4.5.0,a,a.4,a.4.5,a.4.5.0,81
d4ejoa1,a.4.5.0,a,a.4,a.4.5,a.4.5.0,111
d3kcca2,a.4.5.0,a,a.4,a.4.5,a.4.5.0,69
d4co8a1,a.4.5.0,a,a.4,a.4.5,a.4.5.0,97
d7k5yu_,a.4.5.0,a,a.4,a.4.5,a.4.5.0,75
d3cuqa1,a.4.5.0,a,a.4,a.4.5,a.4.5.0,142
d3cuqa2,a.4.5.0,a,a.4,a.4.5,a.4.5.0,77
d3k69a_,a.4.5.0,a,a.4,a.4.5,a.4.5.0,155
d3bpva_,a.4.5.0,a,a.4,a.4.5,a.4.5.0,137
d3qu3a_,a.4.5.0,a,a.4,a.4.5,a.4.5.0,122
d6i6mb1,a.4.5.0,a,a.4,a.4.5,a.4.5.0,112
d6o8la_,a.4.5.0,a,a.4,a.4.5,a.4.5.0,92
d3cjna_,a.4.5.0,a,a.4,a.4.5,a.4.5.0,148
d4pgga1,a.4.5.0,a,a.4,a.4.5,a.4.5.0,113
d6h24a_,a.4.5.0,a,a.4,a.4.5,a.4.5.0,131
d5ffxa_,a.4.5.0,a,a.4,a.4.5,a.4.5.0,138
d4gxoa1,a.4.5.0,a,a.4,a.4.5,a.4.5.0,135
d3keoa1,a.4.5.0,a,a.4,a.4.5,a.4.5.0,76
d2pn6a1,a.4.5.0,a,a.4,a.4.5,a.4.5.0,60
d3elka_,a.4.5.0,a,a.4,a.4.5,a.4.5.0,106
d3df8a1,a.4.5.0,a,a.4,a.4.5,a.4.5.0,106
d3k2za1,a.4.5.0,a,a.4,a.4.5,a.4.5.0,69
d2ff4a1,a.4.6.1,a,a.4,a.4.6,a.4.6.1,95
d1l3la1,a.4.6.2,a,a.4,a.4.6,a.4.6.2,65
d1p4wa_,a.4.6.2,a,a.4,a.4.6,a.4.6.2,87
d1fc3a_,a.4.6.3,a,a.4,a.4.6,a.4.6.3,119
d4uhta_,a.4.6.0,a,a.4,a.4.6,a.4.6.0,102
d3c57a_,a.4.6.0,a,a.4,a.4.6,a.4.6.0,51
d3cjrb1,a.4.7.1,a,a.4,a.4.7,a.4.7.1,67
d1fjgr_,a.4.8.1,a,a.4,a.4.8,a.4.8.1,73
d1whua1,a.4.9.1,a,a.4,a.4.9,a.4.9.1,91
d1e3pa1,a.4.9.1,a,a.4,a.4.9,a.4.9.1,83
d6vrga1,a.4.10.1,a,a.4,a.4.10,a.4.10.1,45
d3s3na1,a.4.10.0,a,a.4,a.4.10,a.4.10.0,99
d1twfj_,a.4.11.1,a,a.4,a.4.11,a.4.11.1,65
d6enia_,a.4.12.1,a,a.4,a.4.12,a.4.12.1,104
d1j1va_,a.4.12.2,a,a.4,a.4.12,a.4.12.2,94
d2jrta1,a.4.12.0,a,a.4,a.4.12,a.4.12.0,92
d1rp3a1,a.4.13.1,a,a.4,a.4.13,a.4.13.1,77
d2k6xa1,a.4.13.2,a,a.4,a.4.13,a.4.13.2,68
d1ku3a_,a.4.13.2,a,a.4,a.4.13,a.4.13.2,61
d1or7a1,a.4.13.2,a,a.4,a.4.13,a.4.13.2,68
d1xsva_,a.4.13.3,a,a.4,a.4.13,a.4.13.3,106
d4g7hf2,a.4.13.0,a,a.4,a.4.13,a.4.13.0,61
d1r71a_,a.4.14.1,a,a.4,a.4.14,a.4.14.1,114
d6sdka2,a.4.14.0,a,a.4,a.4.14,a.4.14.0,103
d1rq6a_,a.4.15.1,a,a.4,a.4.15,a.4.15.1,62
d1cuka1,a.5.1.1,a,a.5,a.5.1,a.5.1.1,48
d1bvsa1,a.5.1.1,a,a.5,a.5.1,a.5.1.1,56
d1pgya_,a.5.2.1,a,a.5,a.5.2,a.5.2.1,47
d6w2ga_,a.5.2.1,a,a.5,a.5.2,a.5.2.1,49
d1dv0a_,a.5.2.1,a,a.5,a.5.2,a.5.2.1,45
d1vega1,a.5.2.1,a,a.5,a.5.2,a.5.2.1,70
d2cosa1,a.5.2.1,a,a.5,a.5.2,a.5.2.1,41
d1wjia1,a.5.2.1,a,a.5,a.5.2,a.5.2.1,50
d1z96a1,a.5.2.1,a,a.5,a.5.2,a.5.2.1,38
d2dnaa1,a.5.2.1,a,a.5,a.5.2,a.5.2.1,54
d1vdla1,a.5.2.1,a,a.5,a.5.2,a.5.2.1,67
d1veka1,a.5.2.1,a,a.5,a.5.2,a.5.2.1,71
d1wgna1,a.5.2.1,a,a.5,a.5.2,a.5.2.1,50
d1wj7a1,a.5.2.1,a,a.5,a.5.2,a.5.2.1,91
d3e46a1,a.5.2.1,a,a.5,a.5.2,a.5.2.1,44
d1ttea1,a.5.2.1,a,a.5,a.5.2,a.5.2.1,55
d4un2b1,a.5.2.1,a,a.5,a.5.2,a.5.2.1,42
d2mj5b1,a.5.2.1,a,a.5,a.5.2,a.5.2.1,47
d3b0fa_,a.5.2.1,a,a.5,a.5.2,a.5.2.1,43
d1xb2b1,a.5.2.2,a,a.5,a.5.2,a.5.2.2,56
d1oaia_,a.5.2.3,a,a.5,a.5.2,a.5.2.3,59
d1v92a_,a.5.2.3,a,a.5,a.5.2,a.5.2.3,46
d2di0a1,a.5.2.4,a,a.5,a.5.2,a.5.2.4,63
d1otra_,a.5.2.4,a,a.5,a.5.2,a.5.2.4,49
d1mn3a_,a.5.2.4,a,a.5,a.5.2,a.5.2.4,54
d1r5la1,a.5.3.1,a,a.5,a.5.3,a.5.3.1,66
d1enwa_,a.5.4.1,a,a.5,a.5.4,a.5.4.1,114
d2crua1,a.5.6.1,a,a.5,a.5.6,a.5.6.1,105
d1sr9a1,a.5.7.1,a,a.5,a.5.7,a.5.7.1,55
d1rqba1,a.5.7.2,a,a.5,a.5.7,a.5.7.2,168
d4lrsa2,a.5.7.0,a,a.5,a.5.7,a.5.7.0,52
d1t95a1,a.5.8.1,a,a.5,a.5.8,a.5.8.1,75
d1ufza1,a.5.9.1,a,a.5,a.5.9,a.5.9.1,70
d1t3ta1,a.5.10.1,a,a.5,a.5.10,a.5.10.1,68
d1jjcb2,a.6.1.1,a,a.6,a.6.1,a.6.1.1,75
d1xpaa1,a.6.1.2,a,a.6,a.6.1,a.6.1.2,77
d1r8ea1,a.6.1.3,a,a.6,a.6.1,a.6.1.3,118
d1q08a_,a.6.1.3,a,a.6,a.6.1,a.6.1.3,94
d1sbxa1,a.6.1.4,a,a.6,a.6.1,a.6.1.4,103
